product_id,product_name,category,unit_price
PROD0186,Pulse Notebook 186,Books,243.18
PROD0187,Ridge Speaker 187,Electronics,613.86
PROD0188,Summit Mug 188,Home,639.37
PROD0189,Velvet Backpack 189,Clothing,479.61
PROD0190,Cascade Watch 190,Sports,638.42
PROD0191,Aero Kettle 191,Beauty,440.82
PROD0192,Nimbus Yoga Mat 192,Books,154.90
PROD0193,Forge Headphones 193,Electronics,706.31
PROD0194,Lumen Lamp 194,Home,352.49
PROD0195,Orbit Jacket 195,Clothing,203.66
PROD0196,Pulse Trainer 196,Sports,573.37
PROD0197,Ridge Serum 197,Beauty,518.55
PROD0198,Summit Notebook 198,Books,663.59
PROD0199,Velvet Speaker 199,Electronics,180.36
PROD0200,Cascade Mug 200,Home,67.96
PROD0001,Aero Headphones 001,Electronics,669.88
PROD0901,,Home,19.99
PROD0902,Mystery Box,,29.99
PROD0903,Negative Price Widget,Electronics,-15.00
PROD0904,Text Price Gadget,Sports,free
,Nameless SKU,Books,12.00
